airport_code,airport_name,month,year,num_of_flights_total,num_of_delays_carrier,num_of_delays_late_aircraft,num_of_delays_nas,num_of_delays_security,num_of_delays_weather,num_of_delays_total,minutes_delayed_carrier,minutes_delayed_late_aircraft,minutes_delayed_nas,minutes_delayed_security,minutes_delayed_weather,minutes_delayed_total,average_delay_time,hours_delayed_total,weather_delay
SAN,"San Diego, CA: San Diego International",October,2006.0,7912,504,593.0,567,5,26,1698,22138.0,26408,17458.0,187,1524,67715,39.87926972909305,1128.5833333333333,572.45
SFO,"San Francisco, CA: San Francisco International",October,2006.0,11231,783,815.0,1252,9,33,2894,41511.0,52333,59624.0,234,2357,156059,53.925017277125086,2600.983333333333,1091.3000000000002
SLC,"Salt Lake City, UT: Salt Lake City International",October,2006.0,11997,742,679.0,354,23,61,1856,40550.0,33033,11247.0,605,4044,89479,48.21066810344828,1491.3166666666666,494.8
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",November,2006.0,33691,,1109.10407239819,3702,6,325,8290,121134.0,115429,138354.0,238,22841,397996,48.00916767189385,6633.266666666666,3064.0312217194573
DEN,"Denver, CO: Denver International",November,2006.0,18580,975,1018.0,770,12,91,2866,,59818,26095.0,633,7496,141512,49.376133984647595,2358.5333333333333,896.9
IAD,"Washington, DC: Washington Dulles International",November,2006.0,8621,571,688.0,758,5,46,2069,32001.0,48297,,102,3385,109253,52.80473658772354,1820.8833333333334,745.1
ORD,"Chicago, IL: Chicago O'Hare International",November,2006.0,30537,1127,2139.0,4123,7,141,7536,77030.0,138172,,134,12738,489666,64.97691082802548,8161.1,3462.65
SAN,"San Diego, CA: San Diego International",November,2006.0,7519,432,489.0,361,4,43,1332,18726.0,24156,12066.0,119,4992,60059,45.08933933933934,1000.9833333333333,424.34999999999997
SFO,"San Francisco, CA: San Francisco International",November,2006.0,10723,685,736.0,1566,5,58,3052,36630.0,46555,93175.0,164,4705,181229,59.38040629095675,3020.483333333333,1296.7
SLC,"Salt Lake City, UT: Salt Lake City International",November,2006.0,11383,679,620.0,320,16,87,1722,31288.0,28483,9844.0,411,6004,76030,44.152148664343784,1267.1666666666667,481.0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",December,2006.0,32795,,2130.0,2243,12,262,6606,127164.0,114361,84763.0,499,19589,346376,52.43354526188314,5772.933333333333,2358.95
DEN,"Denver, CO: Denver International",December,2006.0,19599,,1590.0,1325,20,207,4774,83727.0,103394,62785.0,854,21089,271849,56.94365312107248,4530.816666666667,1545.25
IAD,"Washington, DC: Washington Dulles International",December,2006.0,8710,688,758.0,530,14,72,2067,38909.0,51956,22837.0,556,6888,121146,58.60957910014514,2019.1,643.9
ORD,"Chicago, IL: Chicago O'Hare International",December,2006.0,31399,,3277.0,6553,19,215,11592,100134.0,249757,,1036,18903,859189,74.11913388543823,14319.816666666668,5457.549999999999
SAN,"San Diego, CA: San Diego International",December,2006.0,7788,614,708.0,323,8,37,1688,27528.0,38847,11352.0,200,2681,80608,47.75355450236967,1343.4666666666667,459.35
SFO,"San Francisco, CA: San Francisco International",December,2006.0,11065,967,976.0,1368,17,69,3398,50113.0,61503,76976.0,437,5158,194187,57.14743967039435,3236.45,1251.0
SLC,"Salt Lake City, UT: Salt Lake City International",December,2006.0,12174,1232,1141.0,320,27,172,2890,61509.0,68619,12122.0,741,12224,155215,53.707612456747405,2586.9166666666665,722.3
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,2007.0,32266,,1109.10407239819,2644,9,414,6653,120088.0,103874,118084.0,675,33013,375734,56.47587554486698,6262.233333333334,2465.3312217194575
DEN,"Denver, CO: Denver International",January,2007.0,20057,,1983.0,1787,11,169,5790,95689.0,125756,67892.0,482,13124,302943,52.321761658031086,5049.05,1925.4499999999998
IAD,"Washington, DC: Washington Dulles International",January,2007.0,8572,530,778.0,458,2,51,1822,,51350,16439.0,47,2902,99051,54.363885839736554,1650.85,582.0999999999999
ORD,"Chicago, IL: Chicago O'Hare International",January,2007.0,31839,,3248.0,5442,6,257,10628,105214.0,243469,370915.0,376,17429,737403,69.38304478735417,12290.05,4768.7
SAN,"San Diego, CA: San Diego International",January,2007.0,7674,555,562.0,399,9,54,1579,24364.0,28276,13615.0,287,3673,70215,44.46801773274224,1170.25,481.95000000000005
SFO,"San Francisco, CA: San Francisco International",January,2007.0,10928,837,803.0,863,7,92,2599,42002.0,47450,35784.0,192,7342,132770,51.085032704886494,2212.8333333333335,893.85
SLC,"Salt Lake City, UT: Salt Lake City International",January,2007.0,12187,1210,1477.0,615,17,298,3618,54373.0,89892,27297.0,537,29691,201790,55.77390823659481,3363.1666666666665,1140.85
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",February,2007.0,29766,,1109.10407239819,2201,10,491,6802,141872.0,115372,80718.0,361,35379,373702,54.940017641870035,6228.366666666667,2254.3812217194572
DEN,"Denver, CO: Denver International",February,2007.0,18321,,1870.0,1451,14,286,5241,81386.0,115840,51460.0,499,33341,282526,53.90688799847357,4708.766666666666,1790.15
IAD,"Washington, DC: Washington Dulles International",February,2007.0,7691,623,936.0,440,8,81,2087,41965.0,78455,23262.0,260,9229,153171,73.3929084810733,2552.85,647.8
ORD,"Chicago, IL: Chicago O'Hare International",February,2007.0,28988,,1109.10407239819,4917,9,301,10968,131665.0,277797,315372.0,288,23022,748144,68.21152443471918,12469.066666666668,3829.7812217194573
SAN,"San Diego, CA: San Diego International",February,2007.0,6920,600,634.0,394,9,45,1683,28729.0,34574,13923.0,264,3302,80792,48.00475341651812,1346.5333333333333,491.3
SFO,"San Francisco, CA: San Francisco International",February,2007.0,9938,877,951.0,1652,7,103,3589,46954.0,62099,92794.0,209,10492,212548,59.222067428253,3542.4666666666667,1462.1
SLC,"Salt Lake City, UT: Salt Lake City International",February,2007.0,11011,1071,1103.0,428,9,168,2780,47250.0,60276,17936.0,245,14426,140133,50.40755395683453,2335.55,777.0999999999999
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,2007.0,34033,,1109.10407239819,2108,7,327,6341,138977.0,110820,83649.0,376,22799,356621,56.24049834410976,5943.683333333333,2029.931221719457
DEN,"Denver, CO: Denver International",March,2007.0,20757,1319,1537.0,888,21,105,3869,71964.0,96406,31807.0,649,8457,209283,54.09227190488498,3488.05,1143.3
IAD,"Washington, DC: Washington Dulles International",March,2007.0,8672,734,823.0,616,5,54,2231,41087.0,61705,22857.0,94,3283,129026,57.83325862841775,2150.4333333333334,701.3
ORD,"Chicago, IL: Chicago O'Hare International",March,2007.0,32447,,3095.0,5515,14,222,10591,119529.0,242557,456272.0,884,21102,840344,79.34510433386838,14005.733333333334,4735.25
SAN,"San Diego, CA: San Diego International",March,2007.0,7824,537,544.0,250,5,26,1365,24347.0,27938,8755.0,140,2295,63475,46.501831501831504,1057.9166666666667,351.7
SFO,"San Francisco, CA: San Francisco International",March,2007.0,11223,676,769.0,524,7,33,2011,33769.0,46415,19522.0,247,2182,102135,50.78816509199403,1702.25,604.3
SLC,"Salt Lake City, UT: Salt Lake City International",March,2007.0,12661,818,718.0,294,22,63,1914,37251.0,35396,9548.0,604,3767,86566,45.22779519331243,1442.7666666666667,469.5
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,,32891,,1826.0,1841,7,299,5796,120428.0,104761,60284.0,329,19987,305789,52.75862663906142,5096.483333333334,1583.2
DEN,"Denver, CO: Denver International",April,2007.0,19579,1114,1407.0,1034,6,81,3641,56093.0,82922,33971.0,422,4805,178213,48.946168634990386,2970.2166666666667,916.7
IAD,"Washington, DC: Washington Dulles International",April,2007.0,8239,600,791.0,526,6,48,1971,35660.0,57345,22650.0,162,3656,119473,60.6154236428209,1991.2166666666667,495.69999999999993
ORD,"Chicago, IL: Chicago O'Hare International",April,2007.0,31292,1420,2877.0,5158,12,204,9673,,217560,392163.0,536,16656,720092,74.44350253282332,12001.533333333333,3130.3
SAN,"San Diego, CA: San Diego International",April,2007.0,7440,469,562.0,313,4,33,1379,20490.0,29261,11305.0,132,1964,63152,45.79550398839739,1052.5333333333333,326.79999999999995
SFO,"San Francisco, CA: San Francisco International",April,2007.0,10976,706,790.0,965,11,34,2509,34607.0,46975,41019.0,457,2999,126057,50.24192905540056,2100.95,657.0
SLC,"Salt Lake City, UT: Salt Lake City International",April,2007.0,11715,527,464.0,208,13,34,1245,25374.0,22391,6623.0,372,1935,56695,45.53815261044177,944.9166666666666,256.4
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2007.0,34178,,1415.0,2328,7,193,5471,95842.0,74943,82974.0,379,14046,268184,49.019192103820146,4469.733333333334,1548.7
DEN,"Denver, CO: Denver International",May,2007.0,20240,1251,1412.0,1330,10,151,4156,62078.0,82826,57471.0,293,16525,219193,52.74133782483157,3653.2166666666667,1106.6
IAD,"Washington, DC: Washington Dulles International",May,2007.0,8233,479,561.0,615,2,38,1695,24808.0,33225,25622.0,74,2839,86568,51.07256637168142,1442.8,452.29999999999995
ORD,"Chicago, IL: Chicago O'Hare International",May,2007.0,32385,1277,2293.0,3610,4,151,7340,81237.0,136247,213268.0,130,11204,442090,60.23024523160763,7368.166666666667,2282.9
SAN,"San Diego, CA: San Diego International",May,2007.0,7925,424,539.0,273,5,27,1273,19883.0,27450,9989.0,235,2143,59700,46.897093479968575,995.0,297.9
SFO,"San Francisco, CA: San Francisco International",May,2007.0,11548,721,854.0,1262,6,52,2893,37303.0,49572,65528.0,228,3756,156387,54.05703422053232,2606.45,813.0
SLC,"Salt Lake City, UT: Salt Lake City International",May,2007.0,11625,533,463.0,254,8,47,1304,26144.0,22339,9379.0,248,3505,61615,47.250766871165645,1026.9166666666667,287.5
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,2007.0,35978,,1109.10407239819,4032,9,712,10622,188228.0,211604,238326.0,622,65694,704474,66.32216155149689,11741.233333333334,2657.5312217194573
DEN,"Denver, CO: Denver International",June,2007.0,20269,1462,1801.0,1565,18,173,5018,83284.0,117678,76435.0,794,15390,293581,58.50557991231566,4893.016666666666,1339.3
IAD,"Washington, DC: Washington Dulles International",June,2007.0,7511,604,730.0,827,4,96,2258,35822.0,56538,48465.0,78,10733,151636,67.15500442869796,2527.266666666667,645.8
ORD,"Chicago, IL: Chicago O'Hare International",June,2007.0,31528,,3240.0,4169,17,243,9438,121622.0,238114,311514.0,567,21677,693494,73.47891502436957,11558.233333333334,2882.6000000000004
SAN,"San Diego, CA: San Diego International",June,2007.0,8339,612,819.0,405,10,57,1905,29661.0,46334,19139.0,605,5097,100836,52.93228346456693,1680.6,464.7
SFO,"San Francisco, CA: San Francisco International",June,2007.0,11856,1055,1203.0,1238,11,96,3601,57372.0,78261,61806.0,450,7365,205254,56.999166898083864,3420.9,952.1
SLC,"Salt Lake City, UT: Salt Lake City International",June,2007.0,12934,1002,1106.0,452,20,59,2639,46570.0,53128,21769.0,665,3660,125792,47.666540356195526,2096.5333333333333,571.6
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",July,2007.0,36992,,1109.10407239819,4321,10,812,11931,210173.0,252324,235974.0,645,69683,768799,64.43709663900762,12813.316666666668,2873.1312217194572
DEN,"Denver, CO: Denver International",July,2007.0,21356,1416,1865.0,1401,17,154,4857,80292.0,119047,55395.0,490,11642,266870,54.94543957175211,4447.833333333333,1273.9
IAD,"Washington, DC: Washington Dulles International",July,2007.0,7334,512,681.0,752,8,85,2040,31524.0,52349,39797.0,234,6435,130339,63.891666666666666,2172.3166666666666,590.1
ORD,"Chicago, IL: Chicago O'Hare International",July,2007.0,32047,,3086.0,3441,12,238,8364,109326.0,214217,214364.0,604,20933,559444,66.88713534194166,9324.066666666668,2540.2
SAN,"San Diego, CA: San Diego International",July,2007.0,8718,620,888.0,379,8,36,1931,33224.0,51222,14892.0,233,3009,102580,53.12273433454169,1709.6666666666667,454.0
SFO,"San Francisco, CA: San Francisco International",July,2007.0,12345,1029,1228.0,1534,15,95,3904,57345.0,80148,80620.0,504,8328,226945,58.13140368852459,3782.4166666666665,1077.0
SLC,"Salt Lake City, UT: Salt Lake City International",July,2007.0,13570,1051,1323.0,431,17,88,2913,49177.0,63108,16616.0,491,5915,135307,46.449364915894265,2255.116666666667,657.3
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,2007.0,37284,,1109.10407239819,4041,9,592,10970,220796.0,211011,215831.0,298,53031,700967,63.89854147675479,11682.783333333333,2541.1312217194572
DEN,"Denver, CO: Denver International",August,2007.0,21412,1393,2056.0,1441,13,148,5048,79798.0,128792,59995.0,325,11635,280545,55.575475435816166,4675.75,1341.1999999999998
IAD,"Washington, DC: Washington Dulles International",August,2007.0,7345,561,689.0,570,3,60,1882,37596.0,52031,30270.0,129,6286,126312,67.11583421891605,2105.2,494.7
ORD,"Chicago, IL: Chicago O'Hare International",August,2007.0,32483,,3852.0,4302,14,210,10068,117760.0,277889,277969.0,499,18391,692508,68.78307508939213,11541.8,3086.4
SAN,"San Diego, CA: San Diego International",August,2007.0,8854,665,836.0,380,5,44,1930,32995.0,46924,15190.0,149,2915,98173,50.86683937823834,1636.2166666666667,446.79999999999995
SFO,"San Francisco, CA: San Francisco International",August,2007.0,12456,1074,1233.0,1423,12,80,3820,57478.0,82200,68806.0,509,6241,215234,56.343979057591625,3587.233333333333,1019.1
SLC,"Salt Lake City, UT: Salt Lake City International",August,2007.0,13564,917,1214.0,399,11,75,2614,42152.0,59622,14784.0,350,4200,121108,46.33052792654935,2018.4666666666667,598.8
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",September,,34271,,1616.0,2584,8,299,6862,182309.0,98189,123976.0,340,26559,431373,62.86403380938502,7189.55,2463.4
DEN,"Denver, CO: Denver International",September,2007.0,19261,748,1019.0,726,8,70,2571,37726.0,58533,22748.0,351,4443,123801,48.152858809801636,2063.35,847.6000000000001
IAD,"Washington, DC: Washington Dulles International",September,2007.0,6679,328,372.0,296,2,26,1023,19366.0,21540,11044.0,68,1643,53661,52.45454545454545,894.35,330.0
ORD,"Chicago, IL: Chicago O'Hare International",September,2007.0,30436,1091,1788.0,2917,6,106,5906,70498.0,115806,179509.0,483,6757,373053,63.16508635286149,6217.55,2538.45
SAN,"San Diego, CA: San Diego International",September,2007.0,8389,415,502.0,357,2,23,1300,18490.0,25867,10971.0,67,1566,56961,43.816153846153846,949.35,405.65
SFO,"San Francisco, CA: San Francisco International",September,2007.0,11567,705,757.0,1379,4,46,2893,37067.0,44156,69526.0,189,3599,154537,53.417559626685104,2575.616666666667,1169.45
SLC,"Salt Lake City, UT: Salt Lake City International",,2007.0,12015,670,671.0,324,9,29,1704,28345.0,31081,10544.0,272,2335,72577,42.592136150234744,1209.6166666666666,440.9
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",October,2007.0,36942,,1109.10407239819,3857,7,514,9107,174057.0,117694,154662.0,219,36172,482804,53.01460415065334,8046.733333333334,3353.7812217194573
DEN,"Denver, CO: Denver International",October,2007.0,19967,837,1293.0,891,5,53,3084,42264.0,70580,,151,2718,143385,46.4931906614786,2389.75,1020.05
IAD,"Washington, DC: Washington Dulles International",October,2007.0,6954,433,529.0,411,3,33,1410,23829.0,34489,15735.0,88,2550,76691,54.39078014184397,1278.1833333333334,458.85
ORD,"Chicago, IL: Chicago O'Hare International",October,2007.0,32012,1206,2337.0,3340,7,137,7030,71959.0,142880,192181.0,391,9701,417112,59.33314366998577,6951.866666666667,3009.1
SAN,"San Diego, CA: San Diego International",October,2007.0,8660,447,670.0,454,7,27,1607,,31833,14117.0,223,1600,67934,42.27380211574362,1132.2333333333333,523.1
SFO,"San Francisco, CA: San Francisco International",October,2007.0,12042,722,893.0,1979,11,66,3672,35407.0,60461,111734.0,615,5353,213570,58.161764705882355,3559.5,1620.25
SLC,"Salt Lake City, UT: Salt Lake City International",October,2007.0,12282,678,660.0,260,11,39,1648,27973.0,29881,8515.0,251,2866,69486,42.16383495145631,1158.1,406.0
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",November,2007.0,34674,,1109.10407239819,2413,7,302,5914,122748.0,73998,103020.0,254,20348,320368,54.171119377747715,5339.466666666666,2203.181221719457
DEN,"Denver, CO: Denver International",November,2007.0,19334,866,1173.0,1060,4,41,3144,42774.0,65039,30916.0,131,2805,141665,45.05884223918575,2361.0833333333335,1081.9
IAD,"Washington, DC: Washington Dulles International",November,2007.0,6895,460,493.0,265,3,12,1233,25655.0,32408,7918.0,147,1083,67211,54.51013787510138,1120.1833333333334,332.15
ORD,"Chicago, IL: Chicago O'Hare International",November,2007.0,30041,1164,2118.0,3745,2,76,7107,,136200,216395.0,53,5367,428156,60.24426621640636,7135.933333333333,3145.65
SAN,"San Diego, CA: San Diego International",November,2007.0,8202,490,546.0,513,4,29,1582,20514.0,29738,17347.0,184,1640,69423,43.88305941845765,1157.05,526.25
SFO,"San Francisco, CA: San Francisco International",November,2007.0,11603,583,777.0,1687,6,57,3108,31718.0,51910,97177.0,218,4481,185504,59.68597168597169,3091.733333333333,1386.6499999999999
SLC,"Salt Lake City, UT: Salt Lake City International",November,2007.0,11871,507,475.0,265,15,34,1293,20461.0,23584,7999.0,483,2585,55112,42.62335653518948,918.5333333333333,348.75
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",December,2007.0,34592,,1109.10407239819,4173,20,697,10483,190792.0,156035,162523.0,774,57607,567731,54.15730229896022,9462.183333333332,3742.1812217194574
DEN,"Denver, CO: Denver International",December,2007.0,20208,,2683.0,2534,18,279,7484,107341.0,184579,113731.0,868,24994,431513,57.65807055050775,7191.883333333333,2731.0
IAD,"Washington, DC: Washington Dulles International",December,2007.0,6906,721,887.0,479,1,84,2172,49265.0,67220,25690.0,26,8984,151185,69.60635359116021,2519.75,661.45
ORD,"Chicago, IL: Chicago O'Hare International",December,2007.0,30253,,1109.10407239819,6193,18,373,12652,134573.0,345456,464970.0,566,37311,982876,77.68542522921277,16381.266666666666,4731.181221719457
SAN,"San Diego, CA: San Diego International",December,2007.0,8357,736,917.0,606,5,64,2325,36933.0,50389,23160.0,146,4372,115000,49.46236559139785,1916.6666666666667,733.0
SFO,"San Francisco, CA: San Francisco International",December,2007.0,11940,990,1185.0,2065,9,112,4358,54289.0,85651,131984.0,274,8576,280774,64.42726021110602,4679.566666666667,1809.75
SLC,"Salt Lake City, UT: Salt Lake City International",December,2007.0,12354,,1646.0,813,46,187,4286,72498.0,95426,34552.0,1567,13139,217182,50.672421838544096,3619.7,1209.25
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",January,,33881,,1569.0,2593,6,269,6570,140604.0,87353,100300.0,241,21288,349786,53.23987823439878,5829.766666666666,2425.15
DEN,"Denver, CO: Denver International",January,2008.0,19482,1201,2039.0,1124,7,168,4540,67285.0,121404,37368.0,245,14770,241072,53.09955947136564,4017.866666666667,1510.3
IAD,"Washington, DC: Washington Dulles International",January,2008.0,6792,575,636.0,350,5,34,1597,41060.0,42887,12544.0,90,2742,99323,62.19348778960551,1655.3833333333334,452.29999999999995
ORD,"Chicago, IL: Chicago O'Hare International",January,2008.0,29936,1454,3310.0,6404,6,208,11387,114971.0,254699,561211.0,196,20244,951321,83.54448054799333,15855.35,5363.6
SAN,"San Diego, CA: San Diego International",January,2008.0,8031,646,827.0,640,9,45,2165,31969.0,50544,21277.0,291,2917,106998,49.42170900692841,1783.3,709.1
SFO,"San Francisco, CA: San Francisco International",January,2008.0,11560,731,1081.0,3164,12,141,5131,49972.0,86951,264450.0,557,13907,415837,81.04404599493276,6930.616666666667,2521.9
SLC,"Salt Lake City, UT: Salt Lake City International",January,2008.0,12364,824,1770.0,639,28,235,3497,46693.0,104355,27503.0,878,19220,198649,56.80554761223906,3310.8166666666666,1181.35
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",February,,32357,,1109.10407239819,3716,8,611,8657,153789.0,130909,177176.0,405,51750,514029,59.377266951599864,8567.15,3359.1312217194572
DEN,"Denver, CO: Denver International",February,2008.0,18667,1190,1949.0,1181,5,148,4474,66722.0,114618,,315,11445,233139,52.10974519445686,3885.65,1500.35
IAD,"Washington, DC: Washington Dulles International",February,2008.0,6411,577,707.0,357,2,51,1693,40829.0,52543,15093.0,38,3559,112062,66.19137625516834,1867.7,495.15
ORD,"Chicago, IL: Chicago O'Hare International",February,2008.0,27987,1319,1109.10407239819,5798,8,304,11011,109041.0,259601,442567.0,412,30173,841794,76.45027699573154,14029.9,4405.431221719457
SAN,"San Diego, CA: San Diego International",February,2008.0,7478,523,779.0,529,6,54,1891,27209.0,46077,19377.0,276,4191,97130,51.364357482813325,1618.8333333333333,631.55
SFO,"San Francisco, CA: San Francisco International",February,2008.0,10817,645,1041.0,1810,4,109,3611,39827.0,69149,125430.0,263,8090,242759,67.22763777346995,4045.983333333333,1597.8
SLC,"Salt Lake City, UT: Salt Lake City International",February,2008.0,11681,632,1392.0,467,19,107,2615,33978.0,66941,18443.0,580,9006,128948,49.310898661567876,2149.133333333333,828.15
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",March,2008.0,36089,,1109.10407239819,4552,11,616,10144,170749.0,170686,228730.0,609,57056,627830,61.89175867507886,10463.833333333334,3907.5312217194573
DEN,"Denver, CO: Denver International",March,2008.0,20604,1180,1713.0,1472,18,126,4508,61742.0,100860,48599.0,718,10184,222103,49.26863354037267,3701.7166666666667,1596.7000000000003
IAD,"Washington, DC: Washington Dulles International",March,2008.0,6886,521,636.0,438,2,34,1630,31693.0,42597,18086.0,135,2425,94936,58.24294478527607,1582.2666666666667,509.5
ORD,"Chicago, IL: Chicago O'Hare International",March,2008.0,30085,1372,3003.0,4342,12,217,8945,100975.0,212203,323105.0,439,17808,654530,73.17272219116825,10908.833333333334,3940.2000000000003
SAN,"San Diego, CA: San Diego International",,2008.0,8080,500,769.0,413,6,29,1715,22028.0,38076,13563.0,203,2042,75912,44.263556851311954,1265.2,528.15
SFO,"San Francisco, CA: San Francisco International",March,2008.0,11810,765,837.0,1344,7,56,3010,39188.0,52615,57499.0,397,4076,153775,51.088039867109636,2562.9166666666665,1180.7
SLC,"Salt Lake City, UT: Salt Lake City International",March,2008.0,12685,704,839.0,661,17,65,2282,35220.0,40564,19818.0,404,4337,100343,43.9715162138475,1672.3833333333334,746.35
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",April,2008.0,34623,,1109.10407239819,3123,5,422,7157,129813.0,109124,140254.0,505,35650,415346,58.03353360346514,6922.433333333333,2003.931221719457
DEN,"Denver, CO: Denver International",April,2008.0,19664,853,1246.0,1321,8,62,3488,46347.0,67995,40968.0,338,4531,160179,45.92287844036697,2669.65,964.2
IAD,"Washington, DC: Washington Dulles International",April,2008.0,6396,490,546.0,358,1,19,1415,32060.0,38391,14582.0,21,1482,86536,61.156183745583036,1442.2666666666667,326.0
ORD,"Chicago, IL: Chicago O'Hare International",April,2008.0,30003,1195,2302.0,3827,3,134,7461,86066.0,150007,260592.0,129,12350,509144,68.24071840235894,8485.733333333334,2355.4
SAN,"San Diego, CA: San Diego International",April,2008.0,8005,449,519.0,505,4,11,1491,21649.0,24828,15469.0,81,975,63002,42.25486250838364,1050.0333333333333,368.7
SFO,"San Francisco, CA: San Francisco International",April,2008.0,11542,667,707.0,1170,3,26,2573,38633.0,42270,44914.0,87,1741,127645,49.60940536338904,2127.4166666666665,706.1
SLC,"Salt Lake City, UT: Salt Lake City International",April,2008.0,11653,394,410.0,478,4,27,1315,20517.0,21072,14115.0,139,1770,57613,43.81216730038023,960.2166666666667,341.20000000000005
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",May,2008.0,34572,1466,1349.0,2165,9,227,5217,93557.0,75557,73278.0,459,13152,256003,49.0709219858156,4266.716666666666,1497.7
DEN,"Denver, CO: Denver International",May,2008.0,20765,942,1507.0,2224,5,105,4782,51970.0,89207,72697.0,122,7527,221523,46.32434127979925,3692.05,1446.7
IAD,"Washington, DC: Washington Dulles International",May,2008.0,6521,410,434.0,342,4,27,1215,25701.0,28841,,156,1924,71570,58.90534979423868,1192.8333333333333,294.0
ORD,"Chicago, IL: Chicago O'Hare International",May,2008.0,30757,1167,2201.0,3602,5,139,7113,82058.0,154222,225687.0,280,10720,472967,66.49332208632082,7882.783333333334,2240.1000000000004
SAN,"San Diego, CA: San Diego International",May,2008.0,8350,465,698.0,811,4,16,1996,20511.0,32095,25690.0,233,977,79506,39.83266533066132,1325.1,549.8000000000001
SFO,"San Francisco, CA: San Francisco International",May,2008.0,12115,689,875.0,1657,10,38,3266,38334.0,52893,73884.0,429,2393,167933,51.41855480710349,2798.883333333333,963.3000000000001
SLC,"Salt Lake City, UT: Salt Lake City International",May,2008.0,11584,344,414.0,476,5,15,1256,17332.0,21720,14089.0,322,1145,54608,43.47770700636943,910.1333333333333,329.6
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",June,,35413,,1109.10407239819,3271,5,411,7670,121588.0,134452,155352.0,150,31762,443304,57.797131681877445,7388.4,2052.1312217194572
DEN,"Denver, CO: Denver International",June,2008.0,21335,1247,2027.0,2179,10,124,5585,71122.0,128780,81862.0,386,9341,291491,52.191763652641,4858.183333333333,1603.7
IAD,"Washington, DC: Washington Dulles International",June,2008.0,6501,672,685.0,755,3,87,2200,49066.0,57275,51937.0,53,8857,167188,75.99454545454546,2786.4666666666667,594.5
ORD,"Chicago, IL: Chicago O'Hare International",June,2008.0,30542,1497,3639.0,6526,8,281,11952,114554.0,283919,458409.0,285,25126,882293,73.81969544846051,14704.883333333333,3983.1000000000004
SAN,"San Diego, CA: San Diego International",June,2008.0,8350,575,907.0,796,4,42,2325,28721.0,50659,29607.0,216,3104,112307,48.30408602150538,1871.7833333333333,632.5
SFO,"San Francisco, CA: San Francisco International",June,2008.0,12304,834,1071.0,2833,7,116,4861,50312.0,77298,164814.0,411,9041,301876,62.10162518000411,5031.266666666666,1570.5
SLC,"Salt Lake City, UT: Salt Lake City International",June,2008.0,12202,542,630.0,741,5,45,1966,27786.0,34272,27310.0,93,3550,93011,47.309766022380465,1550.1833333333334,530.4000000000001
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",July,2008.0,36434,,1109.10407239819,4561,6,635,9817,169423.0,207139,363383.0,220,76770,816935,83.21635937659163,13615.583333333334,2792.1312217194572
DEN,"Denver, CO: Denver International",July,2008.0,22040,1068,1610.0,1464,5,167,4311,66032.0,105376,64303.0,175,14033,249919,57.972396195778245,4165.316666666667,1235.6
IAD,"Washington, DC: Washington Dulles International",July,2008.0,6764,633,576.0,579,3,66,1859,41266.0,42915,40413.0,100,5008,129702,69.76976869284562,2161.7,470.4
ORD,"Chicago, IL: Chicago O'Hare International",July,2008.0,31602,1416,2817.0,4142,10,216,8600,104078.0,189362,259730.0,485,18728,572383,66.55616279069767,9539.716666666667,2717.9
SAN,"San Diego, CA: San Diego International",July,2008.0,8613,487,653.0,342,2,34,1516,24482.0,40063,15249.0,52,2704,82550,54.452506596306065,1375.8333333333333,366.70000000000005
SFO,"San Francisco, CA: San Francisco International",July,2008.0,12842,859,997.0,1943,14,94,3904,51931.0,69750,122715.0,714,7480,252590,64.70030737704919,4209.833333333333,1170.3
SLC,"Salt Lake City, UT: Salt Lake City International",July,2008.0,12476,526,576.0,407,4,35,1547,30416.0,35005,17129.0,101,2293,84944,54.90885585003232,1415.7333333333333,370.6
ATL,"Atlanta, GA: Hartsfield-Jackson Atlanta International",August,2008.0,35578,,1109.10407239819,3482,6,347,7673,150351.0,127748,178275.0,211,27660,484245,63.11025674442852,8070.75,2072.5312217194573
DEN,"Denver, CO: Denver International",August,2008.0,21762,936,1436.0,1690,7,155,4221,56038.0,94438,69638.0,209,13182,233505,55.31982942430704,3891.75,1261.8
